metric,official,global_history,helixnid,helixnid_change
delivery_date_mae_days,13.4462870001731,7.1038255149731695,4.116081010905314,69.38871667061453
median_absolute_error_days,13.0,,3.0,
within_1_day_rate,0.04542149904794876,,0.3018175523628181,0.25639605331486935
within_2_day_rate,0.0726674744677168,,0.4540765102994634,0.3814090358317466
