risk_bucket,orders_flagged,true_late_captured,precision,late_recall,precision_lift_vs_base_rate,warning_lead_hours_mean,warning_lead_hours_median
top_5pct,1444,415,0.2873961218836565,0.33279871692060947,6.65712668854003,137.33565261044177,99.12444444444445
top_10pct,2888,535,0.18524930747922438,0.4290296712109062,4.291039492010743,192.6887606438214,127.12694444444445
top_20pct,5777,681,0.11788125324562922,0.5461106655974338,2.730553327987169,280.7384381628324,167.5638888888889
